Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
4971,Samurai Warriors Chronicles,3DS,2011.0,Action,Tecmo Koei,0.12,0.05,0.2,0.01,0.39
6091,Power Pro Kun Pocket 11,DS,2008.0,Sports,Konami Digital Entertainment,0.0,0.0,0.29,0.0,0.29
1779,Dragon Quest I & II,SNES,1993.0,Role-Playing,Enix Corporation,0.0,0.0,1.15,0.0,1.15
8004,Pure Futbol,X360,2010.0,Sports,Ubisoft,0.08,0.09,0.0,0.02,0.18
13270,Venus & Braves: Majo to Megami to Horobi no Yogen,PSP,2011.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.05,0.0,0.05
6292,Dave Mirra Freestyle BMX: Maximum Remix,PS,2001.0,Sports,Acclaim Entertainment,0.15,0.1,0.0,0.02,0.27
10142,MLB Power Pros,PS2,2007.0,Sports,Konami Digital Entertainment,0.0,0.0,0.11,0.0,0.11
3526,Madden NFL 06,GC,2005.0,Sports,Electronic Arts,0.44,0.11,0.0,0.02,0.57
11583,Assassin's Creed Chronicles,PS4,2016.0,Action,Ubisoft,0.01,0.05,0.01,0.01,0.08
14090,FunkMaster Flex's Digital Hitz Factory,PS2,2003.0,Misc,Jester Interactive,0.02,0.01,0.0,0.0,0.04
3387,London 2012: The Official Video Game of the Olympic Games,X360,2012.0,Sports,Sega,0.07,0.46,0.0,0.07,0.59
2970,Frozen: Olaf's Quest,DS,2013.0,Platform,Disney Interactive Studios,0.28,0.35,0.0,0.06,0.69
4054,Backyard Baseball,PS2,2004.0,Sports,Atari,0.24,0.19,0.0,0.06,0.49
5498,Capcom Classics Collection Reloaded,PSP,2006.0,Misc,Capcom,0.26,0.0,0.03,0.03,0.33
2255,WWE SmackDown vs. Raw 2009,X360,2008.0,Fighting,THQ,0.58,0.26,0.0,0.08,0.92
14030,World in Conflict: Complete Edition,PC,2009.0,Strategy,Ubisoft,0.0,0.03,0.0,0.01,0.04
2275,Homefront,PS3,2011.0,Shooter,THQ,0.32,0.4,0.04,0.15,0.91
14339,Dragon's Dogma Online,PS3,2015.0,Role-Playing,Capcom,0.0,0.0,0.03,0.0,0.03
3771,Conflict: Vietnam,PS2,2004.0,Shooter,SCi,0.26,0.2,0.0,0.07,0.53
11448,ToraDora Portable!,PSP,2009.0,Adventure,Namco Bandai Games,0.0,0.0,0.08,0.0,0.08
10220,Nuclear Strike 64,N64,1999.0,Simulation,THQ,0.09,0.02,0.0,0.0,0.11
7166,Hatsune Miku: Project Mirai 2,3DS,2013.0,Action,Sega,0.0,0.0,0.22,0.0,0.22
13491,Front Mission,DS,2007.0,Strategy,Square Enix,0.01,0.0,0.03,0.0,0.04
7931,Thoroughbred Breeder,SNES,1993.0,Simulation,Hect,0.0,0.0,0.19,0.0,0.19
3394,Jampack Fall 2001,PS,2001.0,Misc,Sony Computer Entertainment,0.33,0.22,0.0,0.04,0.59
15354,Chicken Hunter,DS,2007.0,Shooter,Phoenix Games,0.02,0.0,0.0,0.0,0.02
8975,Summon Night 5,PSP,2013.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.15,0.0,0.15
3420,NHL 12,PS3,2011.0,Sports,Electronic Arts,0.36,0.16,0.0,0.07,0.59
15471,Tycoon City: New York,PC,2006.0,Strategy,Atari,0.0,0.02,0.0,0.0,0.02
4697,Cool Boarders 2001,PS,2000.0,Sports,Sony Computer Entertainment,0.23,0.16,0.0,0.03,0.41
2134,NBA 2K10,X360,2009.0,Sports,Take-Two Interactive,0.88,0.02,0.0,0.08,0.97
11641,World Championship Poker: Deluxe Series,DS,2005.0,Misc,505 Games,0.07,0.0,0.0,0.01,0.08
14466,Atelier Shallie Plus: Alchemists of the Dusk Sea,PSV,2016.0,Role-Playing,Tecmo Koei,0.0,0.0,0.03,0.0,0.03
3914,SpongeBob SquarePants: Creature from the Krusty Krab,Wii,2006.0,Platform,THQ,0.45,0.02,0.0,0.04,0.51
1768,Kaboom!,2600,1980.0,Misc,Activision,1.07,0.07,0.0,0.01,1.15
9542,Green Lantern: Rise of the Manhunters,3DS,2011.0,Action,Warner Bros. Interactive Entertainment,0.09,0.03,0.0,0.01,0.13
13055,Secret Files: Tunguska,DS,2008.0,Adventure,Deep Silver,0.04,0.01,0.0,0.0,0.05
8392,State of Emergency,XB,2003.0,Action,Take-Two Interactive,0.13,0.04,0.0,0.01,0.17
14026,Ray Gigant,PSV,2015.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04
14650,Parfait,PSV,2015.0,Adventure,TGL,0.0,0.0,0.03,0.0,0.03
8818,Serious Sam,XB,2002.0,Shooter,Take-Two Interactive,0.11,0.03,0.0,0.01,0.15
102,Call of Duty: Black Ops 3,XOne,2015.0,Shooter,Activision,4.52,2.09,0.01,0.67,7.3
12983,Tsumiki: Block Drop Mania,DS,2007.0,Action,Nobilis,0.05,0.0,0.0,0.0,0.05
15049,Ceville,PC,2009.0,Action,Kalypso Media,0.0,0.02,0.0,0.0,0.02
483,Hitman 2: Silent Assassin,PS2,2002.0,Action,Eidos Interactive,1.36,1.15,0.04,0.41,2.96
1766,Ninja Gaiden Sigma,PS3,2007.0,Action,Eidos Interactive,0.57,0.33,0.09,0.16,1.15
13761,Infamous: First Light,PS4,2014.0,Action,Sony Computer Entertainment,0.0,0.03,0.0,0.01,0.04
4852,Rapala Pro Bass Fishing 2010,X360,2010.0,Sports,Activision,0.32,0.05,0.0,0.03,0.4
1884,Empire: Total War,PC,2009.0,Strategy,Sega,0.01,0.97,0.0,0.11,1.09
4197,Rise of Nightmares,X360,2011.0,Action,Sega,0.28,0.13,0.01,0.04,0.47
15949,Touhou Genso Rondo: Bullet Ballet,PS4,2016.0,Shooter,Nippon Ichi Software,0.01,0.0,0.0,0.0,0.02
160,Batman: Arkham City,PS3,2011.0,Action,Warner Bros. Interactive Entertainment,2.7,1.91,0.11,0.8,5.53
5806,Fate/Extra,PSP,2010.0,Role-Playing,Marvelous Interactive,0.18,0.01,0.1,0.02,0.31
2106,Cars,DS,2006.0,Racing,THQ,0.85,0.05,0.0,0.08,0.98
12477,Hagane no Renkinjutsushi - Fullmetal Alchemist: Yakusoku no Hi e,PSP,2010.0,Action,Namco Bandai Games,0.0,0.0,0.06,0.0,0.06
7232,Viewtiful Joe 2,GC,2004.0,Action,Capcom,0.17,0.04,0.0,0.01,0.22
12549,Create,PC,2010.0,Action,Electronic Arts,0.04,0.01,0.0,0.01,0.06
14027,Negima!? 3-Jikanme ~Koi to Mahou to Sekaiju Densetsu~,PS2,2006.0,Adventure,Konami Digital Entertainment,0.0,0.0,0.04,0.0,0.04
11725,SCORE International Baja 1000: The Official Game,PS3,2008.0,Racing,Activision,0.07,0.0,0.0,0.01,0.08
10116,WireWay,DS,2009.0,Adventure,Konami Digital Entertainment,0.1,0.0,0.0,0.01,0.11
3898,Madden NFL 2004,GC,2003.0,Sports,Electronic Arts,0.4,0.1,0.0,0.01,0.51
811,Kingdom Hearts: Birth by Sleep,PSP,2010.0,Role-Playing,Square Enix,0.63,0.42,0.75,0.26,2.07
4429,Spawn: Armageddon,PS2,2003.0,Action,Electronic Arts,0.22,0.17,0.0,0.06,0.44
14841,World War II Combat: Road To Berlin,XB,2006.0,Shooter,Groove Games,0.02,0.01,0.0,0.0,0.03
9858,Jikkyou Powerful Pro Yakyuu 8 Ketteiban,PS2,2001.0,Sports,Konami Digital Entertainment,0.0,0.0,0.12,0.0,0.12
12319,The Book of Unwritten Tales: The Critter Chronicles,PC,2011.0,Action,Crimson Cow,0.0,0.05,0.0,0.01,0.06
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007.0,Role-Playing,Nintendo,1.85,1.2,1.54,0.37,4.96
11875,Petz Fantasy 3D,3DS,2011.0,Simulation,Ubisoft,0.07,0.0,0.0,0.0,0.07
8143,Pirates: Hunt For Blackbeard's Booty,Wii,2008.0,Adventure,Activision,0.08,0.08,0.0,0.02,0.18
7565,Le Mans 24 Hours,PS2,2001.0,Racing,Infogrames,0.09,0.07,0.02,0.02,0.2
1996,ATV: Quad Power Racing,PS,2000.0,Racing,Acclaim Entertainment,0.58,0.39,0.0,0.07,1.04
5972,The Godfather: Dons Edition,PS3,2007.0,Action,Electronic Arts,0.25,0.02,0.0,0.03,0.29
2815,Full Spectrum Warrior,XB,2004.0,Strategy,THQ,0.54,0.16,0.0,0.03,0.73
9201,The Darkness II,PC,2012.0,Shooter,Take-Two Interactive,0.1,0.03,0.0,0.01,0.14
1510,Pitfall II: Lost Caverns,2600,1983.0,Platform,Activision,1.22,0.07,0.0,0.02,1.31
93,Star Wars Battlefront (2015),PS4,2015.0,Shooter,Electronic Arts,2.93,3.29,0.22,1.23,7.67
199,Grand Theft Auto: Vice City Stories,PSP,2006.0,Action,Take-Two Interactive,1.7,2.02,0.16,1.21,5.08
8970,Tom Clancy's Ghost Recon,GC,2003.0,Shooter,Ubisoft,0.11,0.03,0.0,0.0,0.15
12276,Bionicle,XB,2003.0,Action,Electronic Arts,0.05,0.01,0.0,0.0,0.06
4894,NASCAR Heat,PS,2000.0,Racing,Hasbro Interactive,0.22,0.15,0.0,0.03,0.39
1834,Mad Max (2015),PS4,2015.0,Action,Warner Bros. Interactive Entertainment,0.32,0.58,0.04,0.17,1.11
6981,Virtua Tennis 4,X360,2011.0,Sports,Sega,0.11,0.1,0.01,0.02,0.23
13727,Hanaoni: Yume no Tsudzuki,PSP,2012.0,Action,Idea Factory,0.0,0.0,0.04,0.0,0.04
15989,Sora no Otoshimono: DokiDoki Summer Vacation,PSP,2010.0,Adventure,Kadokawa Shoten,0.0,0.0,0.01,0.0,0.01
4714,Nicktoons: Unite!,PS2,2005.0,Adventure,THQ,0.34,0.01,0.0,0.06,0.41
4747,No More Heroes 2: Desperate Struggle,Wii,2010.0,Action,Rising Star Games,0.21,0.12,0.04,0.03,0.41
14102,Rebel Raiders: Operation Nighthawk,PS2,2006.0,Simulation,Kando Games,0.02,0.01,0.0,0.0,0.03
14500,N+,PSP,2007.0,Platform,Atari,0.03,0.0,0.0,0.0,0.03
538,Jak II,PS2,2003.0,Platform,Sony Computer Entertainment,1.68,0.74,0.0,0.36,2.78
16461,Katekyoo Hitman Reborn! Kindan no Yami no Delta,Wii,2008.0,Action,Marvelous Interactive,0.0,0.0,0.01,0.0,0.01
10298,The Lord of the Rings: Conquest,DS,2009.0,Action,Electronic Arts,0.09,0.01,0.0,0.01,0.11
10579,Project Hacker: Kakusei,DS,2006.0,Action,Nintendo,0.0,0.0,0.1,0.0,0.1
7581,NBA 2K2,XB,2002.0,Sports,Sega,0.15,0.04,0.0,0.01,0.2
2643,Battle Stations,PS,1997.0,Strategy,Electronic Arts,0.43,0.29,0.0,0.05,0.78
4068,Pac-Man World 2,XB,2002.0,Action,Namco Bandai Games,0.36,0.11,0.0,0.02,0.49
6242,Warpath: Jurassic Park,PS,1998.0,Fighting,Electronic Arts,0.15,0.1,0.0,0.02,0.28
7309,Digimon World Re:Digitize,PSP,2012.0,Action,Namco Bandai Games,0.0,0.0,0.22,0.0,0.22
4108,Wu-Tang: Shaolin Style,PS,1998.0,Fighting,Activision,0.27,0.18,0.0,0.03,0.48
14853,Shakugan no Shana,PS2,2006.0,Adventure,Media Works,0.0,0.0,0.03,0.0,0.03
11530,Tempest 3X,PS,1995.0,Shooter,Interplay,0.04,0.03,0.0,0.01,0.08
7733,Mana Khemia 2: Fall of Alchemy,PS2,2008.0,Role-Playing,Gust,0.07,0.05,0.05,0.02,0.2
8299,Resident Evil Director's Cut: Dual Shock Edition,PS,1997.0,Action,Capcom,0.0,0.0,0.16,0.01,0.17
7521,Sengoku Basara 2 Heroes,PS2,2007.0,Action,Capcom,0.0,0.0,0.2,0.0,0.2
15058,Castlevania: Lords of Shadow - Reverie,X360,2011.0,Action,Konami Digital Entertainment,0.02,0.0,0.0,0.0,0.02
87,Final Fantasy X,PS2,2001.0,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05
6096,Ratatouille: Food Frenzy,DS,2007.0,Puzzle,THQ,0.26,0.0,0.0,0.02,0.29
14189,Battle Assault 3 featuring Gundam Seed,PS2,2004.0,Action,Namco Bandai Games,0.02,0.01,0.0,0.0,0.03
6478,Bolt,PS2,2008.0,Adventure,Disney Interactive Studios,0.09,0.02,0.0,0.16,0.26
4830,NFL Quarterback Club 2000,N64,1999.0,Sports,Acclaim Entertainment,0.37,0.03,0.0,0.0,0.4
13504,Just Sing! Vol. 2,DS,2011.0,Misc,PQube,0.0,0.04,0.0,0.01,0.04
4693,MLB 10: The Show,PS2,2010.0,Sports,Sony Computer Entertainment,0.2,0.16,0.0,0.05,0.41
5949,Trace Memory,DS,2005.0,Adventure,Nintendo,0.15,0.01,0.12,0.01,0.3
9273,Football Manager 2014,PSV,2013.0,Sports,Sega,0.0,0.1,0.0,0.04,0.14
6045,Sonic Boom: Shattered Crystal,3DS,2014.0,Action,Sega,0.17,0.09,0.0,0.03,0.29
8109,Burnout Legends,DS,2005.0,Racing,Electronic Arts,0.15,0.02,0.0,0.01,0.18
1967,Cosmic Ark,2600,1981.0,Shooter,Imagic,0.99,0.05,0.0,0.01,1.05
5014,Marvel Nemesis: Rise of the Imperfects,GC,2005.0,Fighting,Electronic Arts,0.3,0.08,0.0,0.01,0.38
3681,Turok: Evolution,XB,2002.0,Shooter,Acclaim Entertainment,0.39,0.14,0.0,0.02,0.55
419,Madden NFL 16,PS4,2015.0,Sports,Electronic Arts,2.33,0.3,0.0,0.59,3.22
953,Kirby: Triple Deluxe,3DS,2014.0,Platform,Nintendo,0.61,0.34,0.79,0.09,1.82
3358,Jaws Unleashed,PS2,2006.0,Action,THQ,0.5,0.02,0.0,0.08,0.6
10029,Every Extend Extra,PSP,2006.0,Shooter,Disney Interactive Studios,0.1,0.01,0.0,0.01,0.11
14515,Konpeki no Kantai,SNES,1995.0,Strategy,Angel Studios,0.0,0.0,0.03,0.0,0.03
2443,Rampage World Tour,PS,1997.0,Action,GT Interactive,0.47,0.32,0.0,0.06,0.85
3776,Gex 3: Deep Cover Gecko,PS,1999.0,Platform,Eidos Interactive,0.3,0.2,0.0,0.03,0.53
15689,Machi-ing Maker 4,PS3,2011.0,Strategy,D3Publisher,0.0,0.0,0.02,0.0,0.02
12150,FIFA Soccer 06,GBA,2005.0,Sports,Electronic Arts,0.05,0.02,0.0,0.0,0.07
5344,F1 Race Stars,PS3,2012.0,Racing,Codemasters,0.06,0.21,0.0,0.08,0.35
4096,NFL Street 2,XB,2004.0,Sports,Electronic Arts,0.36,0.11,0.0,0.02,0.48
3245,Wild ARMs 3,PS2,2002.0,Role-Playing,Ubisoft,0.16,0.13,0.29,0.04,0.62
10230,Night at the Museum: Battle of the Smithsonian,X360,2009.0,Action,Majesco Entertainment,0.07,0.03,0.0,0.01,0.11
2357,WWE SmackDown vs. Raw 2011,X360,2010.0,Fighting,THQ,0.44,0.36,0.0,0.08,0.88
7427,Threads of Fate,PS,1999.0,Role-Playing,SquareSoft,0.12,0.08,0.0,0.01,0.21
5325,Enemy Territory: Quake Wars,PS3,2008.0,Shooter,Activision,0.23,0.07,0.0,0.04,0.35
874,Crash Nitro Kart,PS2,2003.0,Racing,Vivendi Games,0.74,1.01,0.0,0.2,1.95
9260,Major League Baseball 2K8,Wii,2008.0,Sports,Take-Two Interactive,0.13,0.0,0.0,0.01,0.14
3442,SpongeBob SquarePants featuring Nicktoons: Globs of Doom,PS2,2008.0,Action,THQ,0.29,0.22,0.0,0.07,0.58
2859,The Lord of the Rings: The Two Towers,XB,2002.0,Action,Electronic Arts,0.45,0.24,0.0,0.03,0.71
8915,Power Pro Kun Pocket 9,DS,2006.0,Sports,Konami Digital Entertainment,0.0,0.0,0.15,0.0,0.15
6440,ESPN NBA Basketball,XB,2003.0,Sports,Sega,0.2,0.06,0.0,0.01,0.27
8321,Fighter Maker,PS,1998.0,Fighting,Agetec,0.05,0.04,0.07,0.01,0.17
1614,2010 FIFA World Cup South Africa,PS3,2010.0,Sports,Electronic Arts,0.3,0.64,0.07,0.22,1.23
12071,Famicom Mini: Wrecking Crew,GBA,2004.0,Puzzle,Nintendo,0.0,0.0,0.07,0.0,0.07
7188,Bust-A-Move 4,PS,1998.0,Puzzle,Acclaim Entertainment,0.12,0.08,0.0,0.01,0.22
10799,Digimon Story: Super Xros Wars Blue/Red,DS,2011.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1
11164,Sotsugyou Crossworld,PS,1996.0,Simulation,Hearty Robin,0.0,0.0,0.08,0.01,0.09
11265,Beat Sketch!,PS3,2010.0,Misc,Sony Computer Entertainment,0.0,0.0,0.08,0.0,0.08
12029,Alpha and Omega,DS,2010.0,Action,Unknown,0.06,0.0,0.0,0.0,0.07
2829,Ultimate Spider-Man,PS2,2005.0,Action,Activision,0.6,0.02,0.0,0.1,0.72
7440,Shrek: Reekin' Havoc,GBA,2003.0,Platform,TDK Mediactive,0.15,0.06,0.0,0.0,0.21
3837,Syphon Filter 3,PS,2001.0,Shooter,Sony Computer Entertainment,0.29,0.2,0.0,0.03,0.52
14354,Dance Factory,PS2,2006.0,Action,Codemasters,0.02,0.01,0.0,0.0,0.03
4432,Plants vs. Zombies: Garden Warfare 2,XOne,2016.0,Shooter,Electronic Arts,0.26,0.15,0.0,0.04,0.44
14071,Astrology DS,DS,2009.0,Misc,Deep Silver,0.03,0.0,0.0,0.0,0.04
8289,MX World Tour Featuring Jamie Little,PS2,2005.0,Racing,Play It,0.08,0.07,0.0,0.02,0.17
840,Just Dance 3,X360,2011.0,Misc,Ubisoft,1.47,0.4,0.0,0.16,2.03
7367,Prison Break: The Conspiracy,X360,2010.0,Action,Deep Silver,0.07,0.12,0.0,0.02,0.21
7769,J-League Jikkyou Winning Eleven 3,PS,1997.0,Sports,Konami Digital Entertainment,0.0,0.0,0.18,0.01,0.19
3501,NFL Blitz 2000,N64,1999.0,Sports,Midway Games,0.55,0.02,0.0,0.0,0.58
7547,Deal or No Deal: The Banker is Back!,DS,2008.0,Misc,Mindscape,0.0,0.2,0.0,0.0,0.2
3544,FIFA World Cup Germany 2006,PS2,2006.0,Sports,Electronic Arts,0.47,0.02,0.0,0.08,0.57
16177,We Sing 80s,Wii,2012.0,Misc,Nordic Games,0.0,0.01,0.0,0.0,0.01
6932,Nintendo Presents: Crossword Collection,DS,2009.0,Puzzle,Nintendo,0.0,0.21,0.0,0.02,0.24
7656,Grandia II,DC,2000.0,Role-Playing,Ubisoft,0.0,0.0,0.2,0.0,0.2
6157,Mega Man: Dr. Wily's Revenge,GB,1991.0,Platform,Nintendo,0.0,0.0,0.28,0.0,0.28
16059,Sangoku Koi Senki: Otome no Heihou!,PS2,2011.0,Adventure,Prototype,0.0,0.0,0.01,0.0,0.01
12530,Foster's Home for Imaginary Friends: Imagination Invaders,DS,2007.0,Adventure,Midway Games,0.06,0.0,0.0,0.0,0.06
6216,iCarly 2: iJoin The Click!,DS,2010.0,Adventure,Activision,0.26,0.01,0.0,0.02,0.28
9553,LEGO Racers 2,PS2,2001.0,Racing,Electronic Arts,0.06,0.05,0.0,0.02,0.13
9376,Peter Jackson's King Kong: The Official Game of the Movie,DS,2005.0,Action,Ubisoft,0.12,0.0,0.0,0.01,0.13
13653,Digimon Rumble Arena 2,GC,2004.0,Fighting,Atari,0.03,0.01,0.0,0.0,0.04
7582,X2: Wolverine's Revenge,GBA,2003.0,Platform,Activision,0.14,0.05,0.0,0.0,0.2
14884,Wand of Fortune 2 FD: Kimi ni Sasageru Epilogue,PSP,2012.0,Adventure,Idea Factory,0.0,0.0,0.03,0.0,0.03
2997,Cars: Mater-National Championship,DS,2007.0,Racing,THQ,0.63,0.01,0.0,0.05,0.68
6349,Call of Juarez: The Cartel,X360,2011.0,Shooter,Ubisoft,0.14,0.11,0.0,0.03,0.27
7697,Backyard Hockey,GBA,2003.0,Sports,Atari,0.14,0.05,0.0,0.0,0.2
1703,NBA 2K17,PS4,2016.0,Sports,Take-Two Interactive,0.83,0.14,0.0,0.22,1.19
541,Tekken 6,PS3,2009.0,Fighting,Namco Bandai Games,1.2,0.98,0.17,0.43,2.78
7095,Bratz: Girlz Really Rock,PS2,2008.0,Action,THQ,0.11,0.09,0.0,0.03,0.23
13451,Bad Boys: Miami Takedown,GC,2004.0,Shooter,Empire Interactive,0.03,0.01,0.0,0.0,0.05
1540,Champions of Norrath,PS2,2004.0,Role-Playing,Sony Online Entertainment,0.63,0.49,0.0,0.16,1.28
9794,The King of Fighters Collection: The Orochi Saga,Wii,2008.0,Fighting,Ignition Entertainment,0.11,0.0,0.0,0.01,0.12
11500,AKB1/149: Love Election,PS3,2013.0,Adventure,Namco Bandai Games,0.0,0.0,0.08,0.0,0.08
7274,NBA 06,PSP,2005.0,Sports,Sony Computer Entertainment,0.2,0.0,0.0,0.02,0.22
